Data_Hora_Evento,Numero_Satelites,HDOP
2025-06-30 09:18:28,12.0,1.0
2025-06-30 09:18:46,12.0,1.0
2025-06-30 09:18:49,12.0,1.0
2025-06-30 09:18:52,12.0,1.0
2025-06-30 09:19:10,12.0,1.0
2025-06-30 09:19:17,12.0,1.0
2025-06-30 09:19:46,12.0,1.0
2025-06-30 09:19:50,12.0,1.0
2025-06-30 09:19:51,12.0,1.0
2025-06-30 09:19:52,12.0,1.0
2025-06-30 09:19:57,12.0,1.0
2025-06-30 09:20:03,12.0,1.0
2025-06-30 09:20:24,12.0,1.0
2025-06-30 09:20:25,12.0,1.0
2025-06-30 09:23:16,12.0,1.0
2025-06-30 09:26:16,12.0,1.0
2025-06-30 09:29:16,12.0,1.0
2025-06-30 09:30:04,12.0,1.0
2025-06-30 09:30:04,12.0,1.0
2025-06-30 09:35:16,12.0,1.0
2025-06-30 09:38:16,12.0,1.0
2025-06-30 09:38:36,12.0,1.0
2025-06-30 09:38:36,12.0,1.0
2025-06-30 09:38:36,12.0,1.0
2025-06-30 09:38:36,12.0,1.0
2025-06-30 09:38:36,12.0,1.0
2025-06-30 09:38:36,12.0,1.0
2025-06-30 09:38:41,12.0,1.0
2025-06-30 09:39:28,12.0,1.0
2025-06-30 09:39:50,12.0,1.0
2025-06-30 09:40:02,12.0,1.0
2025-06-30 09:41:23,12.0,1.0
2025-06-30 09:41:28,12.0,1.0
2025-06-30 09:41:42,12.0,1.0
2025-06-30 09:41:56,12.0,1.0
2025-06-30 09:42:03,12.0,1.0
2025-06-30 09:42:10,12.0,1.0
2025-06-30 09:42:12,12.0,1.0
2025-06-30 09:42:24,12.0,1.0
2025-06-30 09:43:38,12.0,1.0
2025-06-30 09:44:08,12.0,1.0
2025-06-30 09:44:20,12.0,1.0
2025-06-30 09:44:26,12.0,1.0
2025-06-30 09:44:42,12.0,1.0
2025-06-30 09:45:25,12.0,1.0
2025-06-30 09:45:34,12.0,1.0
2025-06-30 09:47:42,12.0,1.0
2025-06-30 09:50:38,12.0,1.0
2025-06-30 09:50:40,12.0,1.0
2025-06-30 09:50:42,12.0,1.0
2025-06-30 09:51:01,12.0,1.0
2025-06-30 09:52:18,12.0,1.0
2025-06-30 09:52:29,12.0,1.0
2025-06-30 09:52:47,12.0,1.0
2025-06-30 09:53:16,12.0,1.0
2025-06-30 09:53:20,12.0,1.0
2025-06-30 09:53:27,12.0,1.0
2025-06-30 09:53:33,12.0,1.0
2025-06-30 09:53:35,12.0,1.0
2025-06-30 09:53:42,12.0,1.0
2025-06-30 09:53:43,12.0,1.0
2025-06-30 09:53:43,12.0,1.0
2025-06-30 09:53:45,12.0,1.0
2025-06-30 09:53:52,12.0,1.0
2025-06-30 09:54:03,12.0,1.0
2025-06-30 09:54:05,12.0,1.0
2025-06-30 09:54:26,12.0,1.0
2025-06-30 09:54:28,12.0,1.0
2025-06-30 09:56:42,12.0,1.0
2025-06-30 09:59:42,12.0,1.0
2025-06-30 10:02:42,12.0,1.0
2025-06-30 10:05:42,12.0,1.0
2025-06-30 10:08:42,12.0,1.0
2025-06-30 10:09:26,12.0,1.0
2025-06-30 10:09:29,12.0,1.0
2025-06-30 10:11:42,12.0,1.0
2025-06-30 10:14:21,12.0,1.0
2025-06-30 10:14:26,12.0,1.0
2025-06-30 10:14:28,12.0,1.0
2025-06-30 10:14:30,12.0,1.0
2025-06-30 10:14:42,12.0,1.0
2025-06-30 10:17:42,12.0,1.0
