bloco,ordem_no_bloco,latitude,longitude,data_hora,hodometro_atual,motion_status
1,335,-23.329809,-51.17747,2025-07-09 06:42:11,3.2,21.0
1,336,-23.329809,-51.17747,2025-07-09 06:42:23,3.2,21.0
1,337,-23.329661,-51.177905,2025-07-09 06:43:40,3.3,21.0
1,338,-23.329754,-51.178276,2025-07-09 06:44:35,3.3,21.0
1,339,-23.33004,-51.178107,2025-07-09 06:47:34,3.4,21.0
1,340,-23.329754,-51.178276,2025-07-09 06:47:35,3.4,21.0
1,341,-23.329754,-51.178276,2025-07-09 06:50:35,3.4,21.0
1,342,-23.329754,-51.178276,2025-07-09 06:53:35,3.4,21.0
1,343,-23.329754,-51.178276,2025-07-09 06:56:35,3.4,21.0
1,344,-23.33004,-51.178107,2025-07-09 06:56:44,3.4,21.0
1,345,-23.33004,-51.178107,2025-07-09 06:59:35,3.4,21.0
1,346,-23.33004,-51.178107,2025-07-09 07:02:35,3.4,21.0
1,347,-23.33004,-51.178107,2025-07-09 07:05:35,3.4,21.0
1,348,-23.33004,-51.178107,2025-07-09 07:08:35,3.4,21.0
1,349,-23.33004,-51.178107,2025-07-09 07:11:35,3.4,21.0
1,350,-23.33004,-51.178107,2025-07-09 07:14:35,3.4,21.0
1,351,-23.33004,-51.178107,2025-07-09 07:17:35,3.4,21.0
1,352,-23.33004,-51.178107,2025-07-09 07:20:35,3.4,21.0
1,353,-23.33004,-51.178107,2025-07-09 07:23:35,3.4,21.0
1,354,-23.33004,-51.178107,2025-07-09 07:26:35,3.4,21.0
1,355,-23.33004,-51.178107,2025-07-09 07:29:35,3.4,21.0
1,356,-23.33004,-51.178107,2025-07-09 07:32:35,3.4,21.0
1,357,-23.33004,-51.178107,2025-07-09 07:35:35,3.4,21.0
1,358,-23.33004,-51.178107,2025-07-09 07:38:35,3.4,21.0
1,359,-23.33004,-51.178107,2025-07-09 07:40:09,3.4,21.0
1,360,-23.33004,-51.178107,2025-07-09 07:41:35,3.4,21.0
1,361,-23.33004,-51.178107,2025-07-09 07:43:12,3.4,21.0
1,362,-23.33004,-51.178107,2025-07-09 07:44:35,3.4,21.0
1,363,-23.33004,-51.178107,2025-07-09 07:47:35,3.4,21.0
1,364,-23.33004,-51.178107,2025-07-09 07:49:16,3.4,21.0
1,365,-23.33004,-51.178107,2025-07-09 07:50:04,3.4,21.0
1,366,-23.33004,-51.178107,2025-07-09 07:50:54,3.4,21.0
1,367,-23.33004,-51.178107,2025-07-09 07:53:35,3.4,21.0
1,368,-23.33004,-51.178107,2025-07-09 07:56:35,3.4,21.0
1,369,-23.33004,-51.178107,2025-07-09 07:59:15,3.4,21.0
1,370,-23.33004,-51.178107,2025-07-09 07:59:35,3.4,21.0
